date,region,season,population,current_cases,cases,recovered,deaths,transmission_rate,vaccination_rate,mobility_index,temperature,humidity,population_density,healthcare_capacity,future_cases
2020-01-01,africa,summer,19469886,25237,58488,10456,1216,0.6245658078226674,79.07714896168125,3,15.029044472414935,45.022875185121904,3386.0762547424547,22433,15627.674564839122
2020-01-02,south-america,spring,4910833,5988,64363,62961,4051,3.9801560594000023,94.20431258131667,9,32.77944470377817,24.612581274834376,3106.701562990345,16058,7081.366458787478
2020-01-03,asia,summer,23580675,87537,26772,10283,2197,1.3145492212044314,15.543539393136246,7,16.534759488176068,31.693896862815,9326.105829598939,21054,513860.33156654413
2020-01-04,south-america,summer,40072097,17163,13293,43769,2806,0.6884068371796068,65.71887571848832,10,2.7616217172141724,89.4981577811288,2492.200558923253,9738,20496.01765399631
2020-01-05,south-america,autumn,17319277,59775,63932,1139,778,1.1645636518357199,64.05788950150234,1,23.782203193244428,59.41090602201641,6428.89303504027,34247,39747.90535966646
2020-01-06,europe,winter,28600556,99094,39430,62948,972,0.6363524622196248,93.09576749903646,10,17.128772626779007,44.963525917823645,2758.52629618716,9775,58747.72638808151
2020-01-07,asia,winter,32173692,39081,55578,54323,2810,1.8713381311601007,93.63206972551603,5,1.652231413343623,40.17418856950272,5076.3673875774475,24154,25752.8206386767
2020-01-08,asia,summer,37416107,69529,85100,60133,2123,3.308406245579635,65.2344681137923,9,18.68139289714539,37.98942147176633,7865.065997036816,43134,913486.3499157235
2020-01-09,asia,autumn,27527110,9513,20229,21874,598,1.6943555741520222,23.143405238308457,3,31.076778894484306,66.49069355381374,8818.408009927443,31761,23957.69666456049
2020-01-10,south-america,summer,24292961,60713,57179,5044,3341,2.054641924074283,75.86280462240691,9,-8.571454113799478,49.357148206378014,8388.585430547553,17284,109129.05651996196
2020-01-11,africa,summer,24959871,64389,74975,21286,224,2.864553707486036,10.16776775004862,5,21.542551932255584,87.57874895580281,5825.985554084952,48063,964070.5997992156
2020-01-12,asia,summer,25754796,95467,46850,10447,840,2.2811292452445806,74.16643389630472,9,7.479259789219604,67.8690121451753,2495.674990228839,25922,228046.1640129905
2020-01-13,oceania,autumn,32535245,57876,44705,73793,1814,3.515059901074635,86.46863179374616,10,4.633572287971209,75.44312137342729,6615.721498786039,11029,114980.45108475686
2020-01-14,south-america,winter,29363888,16915,84764,27591,4809,3.531124862660148,36.36917250300135,6,9.629387518055562,40.491908400821195,7101.951407338284,5367,319974.56875476666
2020-01-15,europe,autumn,27883527,45848,77998,53058,1106,0.5346874342190377,59.910353023392645,9,7.101133212399084,25.54304863760381,116.81298123387914,36125,55119.17493672049
2020-01-16,africa,spring,42206078,58289,58352,50494,124,3.223162072691197,40.8635595491985,7,31.61195533542208,54.14759861673167,4397.713004209427,12169,964407.8028979514
2020-01-17,oceania,autumn,7381505,89499,18961,67092,3246,2.1125676008458587,41.587680223872205,7,3.739890538395027,42.02070825823591,8434.187807789425,1081,565375.0635947868
2020-01-18,oceania,autumn,38779227,26816,1317,12630,2931,3.9609418945628208,29.485234465271404,8,26.65765115532927,34.14582155055466,4900.980086468043,43536,2246474.802657167
2020-01-19,europe,autumn,39065695,45010,80398,34402,4125,2.191312265564023,72.40231394278084,7,-5.297008988570564,86.6849491560603,3120.640667211578,18572,61323.28219531625
2020-01-20,africa,autumn,37618167,22178,90778,58676,2971,3.954135808859041,88.936773595818,9,37.56981862422078,51.07917500394212,8719.25973253638,19436,41926.946078468194
2020-01-21,south-america,winter,26640396,70129,35438,66902,2017,3.140992764220078,89.3713316272738,9,21.11583186242759,32.22960144341499,1567.248168322759,25687,96589.4164278941
2020-01-22,north-america,spring,14912143,38724,92031,26154,2415,1.370117096146572,16.604222063118712,6,25.335928852228008,33.90554568767974,2072.387871837842,11756,171137.46413015784
2020-01-23,africa,winter,9089138,54103,75784,60035,4590,2.384382427504352,83.10064671737378,7,4.901966604722549,39.64968197252158,6876.849945691973,27426,95874.4768517753
2020-01-24,europe,winter,47464509,55429,38985,69911,3096,3.9724747381750394,70.0559869355766,2,10.604828435405732,89.9521387732799,3530.835055850484,18610,68908.54358112613
2020-01-25,oceania,autumn,12137574,49155,1150,5288,1609,3.5013571271317327,24.01955306557748,9,1.188919313548812,38.76080503637181,7133.038188980451,40931,3571184.950650713
2020-01-26,south-america,summer,43120873,77435,24852,7615,717,0.8407841282692738,6.392038227543883,1,36.626804290111195,43.01612632049175,1585.459176382324,19075,65095.007181947374
2020-01-27,africa,summer,44620680,92959,26431,43331,3561,2.972301988834986,25.459740354015906,1,14.405222355068883,66.15296895888011,2530.168205112451,9765,100984.34580018822
2020-01-28,north-america,winter,42478463,77821,1718,14929,1016,1.7095285505478457,86.65978249424494,3,21.522405782899497,40.57729634872088,1574.9073098526987,27197,54845.1828293261
2020-01-29,north-america,winter,6655035,2471,3640,76167,3565,0.5244379165812184,60.15197411509837,6,26.71360152653577,35.106297574178534,9529.57403249946,25841,2972.92193376513
2020-01-30,asia,autumn,32835803,14301,19605,874,4701,1.9121833915944986,68.50019278529783,5,8.55530455497695,31.104603065471906,4059.985568900732,6537,20401.465982437694
2020-01-31,asia,winter,32837614,46814,76031,1019,4470,1.3216404760373996,24.429473355364106,2,26.005082726957063,41.88778655194545,3378.826900003158,25285,46842.875264981754
2020-02-01,europe,autumn,43707261,76981,28318,10108,1960,3.3660424468216505,68.34187477960792,9,23.799624487817006,27.414098274014144,151.87954014593936,10475,576525.7329323957
2020-02-02,africa,summer,15986372,93481,44799,33463,1048,1.6806571309601792,2.671543096402757,10,25.282966693697325,21.305261049034804,1542.641618314765,27207,2403873.6132372604
2020-02-03,africa,summer,37722748,64956,55700,23253,1357,3.3963329288383597,35.65552784843631,4,14.461495010230642,76.32491881342742,4217.14720386257,30584,442118.10405856173
2020-02-04,oceania,spring,32556981,98999,26096,43521,3426,0.5020927859217836,59.541568111521464,4,9.146869114580856,29.65264596902036,694.3428977932217,35729,65977.15058620629
2020-02-05,oceania,summer,8167987,84090,16869,29066,115,1.5773670250914171,13.879173726425421,5,1.1041094104494924,74.31837948706696,5112.285901767107,45710,219939.09705307035
2020-02-06,oceania,winter,1756671,61342,7694,24175,2095,1.3440782500771669,78.1853395724588,8,31.231317640044644,75.82797352906618,4555.6042302598335,25935,72028.78838749162
2020-02-07,asia,summer,22558851,77804,91098,8029,1801,1.3174857637401385,22.32797338713227,10,20.417502326583936,57.654366843047015,7674.009722040077,29843,1010130.0140063032
2020-02-08,africa,autumn,23022481,30851,1217,43808,2146,0.7386531691791194,61.9667057177524,4,12.217609804874748,41.6777370819066,6601.428986989163,31017,28190.903422428717
2020-02-09,africa,summer,42181603,48768,46109,19301,1620,1.154934946436756,38.49372854465632,5,37.19979533553057,30.152291362492193,4465.013580152532,39095,76780.32024466201
2020-02-10,north-america,spring,17660282,76282,67506,18262,4780,2.4444234945996697,56.62414157037648,4,-7.608059374648059,71.57635747046993,2254.3603940496637,11524,116604.85286515494
2020-02-11,asia,summer,43597663,37653,66103,12860,2950,1.5197637549321057,10.207802499746272,6,32.50859726025238,62.097089018725015,7271.3670245178855,9743,210128.77582927162
2020-02-12,south-america,autumn,21777072,50418,29699,20030,3792,1.9608817381520178,1.606715992552696,3,39.87912964729862,65.88174195454948,7081.5424135075,10410,139521.63112859664
2020-02-13,asia,autumn,23117995,43960,48661,4463,2941,1.8190340812151597,86.40862060112862,8,34.34710554414337,20.606836289159173,1541.4286435487202,19051,43509.75525959549
2020-02-14,south-america,winter,20933173,56859,13903,63615,4905,3.565667237499631,25.614850832882365,6,30.52182928078126,84.92619109954772,9148.370795939773,26668,954335.7374656956
2020-02-15,north-america,summer,23494704,28054,97818,70848,977,3.668546496536804,77.86931526414361,10,8.71529967031623,24.640313121258515,653.4071089902814,15333,117462.53007510031
2020-02-16,europe,autumn,17475113,16007,66428,49836,3066,2.22534940079551,94.93827854485902,5,1.565709113114675,45.6764119598004,559.8267118382348,13300,12383.848349081163
2020-02-17,africa,spring,20818453,79761,60021,43432,783,1.6555458261046154,20.08596950989656,2,26.74252602498005,48.189815475619014,1881.6306724476456,21648,96341.85960006496
2020-02-18,north-america,winter,9261408,98615,38645,38511,240,0.8738024640082727,25.191220412418783,10,5.22876831442842,20.09488671485642,9095.513372507225,10632,339264.0792388507
2020-02-19,africa,spring,47539893,23921,56125,5673,1553,3.8369100778373326,62.97167982529324,10,-1.1980158922514654,54.796251654555796,5204.781259128848,23565,349023.9591361111
2020-02-20,oceania,summer,49666169,55543,95081,47200,4578,0.7107943071510411,91.71762028705902,7,29.326294355179563,72.69662961577069,7881.529797522272,21391,38986.52449810522
2020-02-21,europe,summer,37314417,82576,78415,73238,1012,1.5417759714889816,87.00236307812067,2,5.62718261183611,77.62880571803404,2286.1534488842412,42548,59381.351295744695
2020-02-22,europe,summer,24896429,94880,72712,24422,186,1.5432317040950145,47.77317440623057,1,35.72208647436692,81.55778953141191,4907.317526790871,30680,65749.73877489749
2020-02-23,north-america,winter,20453727,14581,78528,10756,1881,1.621404501490752,75.53547684003884,7,32.03163224095626,54.14032078207586,3589.311741602584,26249,19521.461611318337
2020-02-24,europe,autumn,18041166,94473,72815,46223,4586,1.0750039514534324,12.8958560444906,5,32.382016475462756,64.14453333707553,8280.007784591264,21446,212403.36429461525
2020-02-25,south-america,winter,649148,57951,58964,7357,430,3.24106500823294,92.85662749938116,1,28.578486302791312,25.566379930754913,235.81834919867399,10719,34190.35672412426
2020-02-26,europe,spring,36428139,58015,28074,79057,238,0.9287425168809622,91.61355723341872,4,34.04407118873684,54.16267569972249,2445.988872361392,40018,34391.16897894459
2020-02-27,africa,winter,29944218,86260,79073,28932,2345,2.7221733070360696,15.554250998521242,4,30.287344608906004,30.83710284102147,1534.216500780764,1866,496118.42988179374
2020-02-28,africa,spring,21945218,58722,2464,41099,75,0.9334610934703611,28.44519685629513,10,20.125568178736433,45.8750182335765,8593.298496828478,3649,325777.09293708135
2020-02-29,africa,winter,2873939,43551,20888,54127,1356,0.7468747315753479,9.514724763142858,7,4.7911359290931586,43.05137190052195,4680.76305844072,18793,102377.58283550572
2020-03-01,africa,autumn,35590172,23397,51108,29498,4922,3.683003262900568,25.813171895327073,9,34.41045966070745,49.64784040690557,4048.15823849323,32022,2574523.648053563
2020-03-02,south-america,spring,37089387,93990,62164,73544,2330,1.1654506821154698,77.51579999444463,2,32.03018113865959,60.01456325818928,4500.332793389788,42502,72369.0488996852
2020-03-03,asia,summer,38591142,48918,13001,31712,4686,3.374375540958965,35.93998268069965,1,13.643966110527252,83.20136529440971,9719.526261516328,34844,50081.68558265887
2020-03-04,oceania,summer,13526716,85467,68354,68819,1902,2.4062080488749755,8.397711878942046,2,-8.04606569990224,47.61392419432538,8504.171269415881,48428,123126.76870483717
2020-03-05,north-america,winter,28011050,13067,36603,7301,4013,0.7724978186306937,32.51142485399593,7,21.927186370095672,88.67918369980855,7066.624030784573,12265,23090.811746564537
2020-03-06,africa,summer,38810304,64038,36314,25403,4670,3.844068670033236,93.2314167529216,10,-7.470157316170914,73.13196336358419,2911.8848026403134,23664,81888.21211609323
2020-03-07,europe,spring,47818021,55741,30396,35847,4987,1.3643640844716238,59.819941549624275,6,36.31399809242036,55.803673275186824,1660.0782651892932,35358,90638.22870406746
2020-03-08,africa,summer,18431726,24868,55230,13266,2059,3.5087587087341228,39.535289908584986,4,38.08156283126535,65.08185059783608,9215.121953954289,25401,96944.87643982217
2020-03-09,europe,autumn,27096639,48699,69348,76714,140,1.0908350202459747,15.82115878224065,1,-0.5254927050197882,27.155691979236114,4236.524472736864,44863,37130.912768185444
2020-03-10,oceania,autumn,20640338,44648,94299,56709,1789,3.488800087496485,93.686795741951,1,23.8194689027455,79.11650719195583,2794.7704366916055,20865,27959.65425130593
2020-03-11,oceania,winter,10874986,91608,21093,67178,3626,0.546300845168529,77.98065587999723,5,-5.386549771861862,60.76502185447761,4714.499055912178,44887,66997.25826070257
2020-03-12,oceania,spring,49150169,46496,18364,31786,16,2.2912315979931823,26.740343732837342,1,26.475846428656105,89.02472361467213,9179.295753975319,7525,40565.03847768398
2020-03-13,europe,autumn,4521590,20577,22200,13657,4348,3.193049027975449,6.656526093512999,7,7.36438330763373,64.55001206269944,3876.802460779019,12957,1104454.5457108514
2020-03-14,africa,autumn,36189369,29749,6152,5108,464,3.771784311224742,5.379427950868013,1,24.052505586522265,78.38781082864276,5630.783562508514,27563,42875.97785994015
2020-03-15,oceania,spring,11646081,57814,28408,25505,4471,3.682207476722705,11.435924203025714,1,8.643825460108893,75.98339199566678,8031.6333480745825,22544,86400.78385479806
2020-03-16,south-america,summer,34466893,3764,51981,35534,1827,3.3686870434167573,55.173015443370055,2,-2.7216245083382127,44.18228060277882,4277.053985173428,41557,7922.681912771033
2020-03-17,europe,summer,29321379,27054,41872,18457,3028,3.608669723814564,88.23252501452177,10,10.305499025127894,38.172743766324814,2343.0826012444195,36844,58774.165765619706
2020-03-18,europe,winter,18595440,67270,98678,49398,519,1.1972689004297679,47.19062566056853,3,-4.366323668260499,50.134550840205705,9945.312226346505,14305,62957.86132918184
2020-03-19,africa,summer,36365058,66922,53420,31179,89,1.4946450349910507,80.07982083333873,1,18.84416374884729,52.7068941086186,9566.142865947075,804,30779.90915254374
2020-03-20,europe,spring,45024392,8716,19513,64455,4815,1.511389837223705,42.35922888668174,9,-7.952423392526011,36.80592913556507,8436.356899563885,5552,32512.33142213466
2020-03-21,europe,autumn,31770310,8904,48466,35441,2851,1.8196887585059458,67.3154368479434,10,16.365983979992986,82.62185113456803,6886.855055065366,45717,63954.41099823036
2020-03-22,oceania,summer,49058734,18047,82045,47411,2843,1.8766223463481604,69.52791004221758,8,34.318432354777045,57.97835036104522,2955.7076244162727,38962,48807.98292151947
2020-03-23,africa,winter,26652476,83996,8026,63064,4725,2.405943636291364,16.52655206081717,5,31.893663505968135,88.49110745074987,9134.99525225868,3781,389063.6253308046
2020-03-24,oceania,summer,6540010,81952,2394,15959,1884,1.059579171782545,34.31552560270212,2,34.13908498132484,76.70124446323842,2762.811134511075,20622,67337.5384883492
2020-03-25,oceania,spring,8774163,51622,62330,12361,4171,2.9193633232509626,60.54370487111227,5,36.10244010635537,58.89934022743622,8010.086851821557,18400,148572.99325445006
2020-03-26,africa,winter,18379553,29735,15082,2192,925,1.0864828875657726,6.716177777514788,6,-4.7736056062152885,86.29281947010514,9183.39909773365,9666,68295.36324393224
2020-03-27,north-america,summer,31014222,5936,80028,77248,3734,1.5860796873659164,34.346317837480875,1,-3.5626398562143464,55.341237056671496,6034.008365894816,7601,4057.3274978890213
2020-03-28,oceania,winter,37141101,9506,40520,35103,969,2.2617079571215393,50.80594929671329,4,17.85034031565643,82.09745587630692,8032.5316167328765,1945,20953.38253061783
2020-03-29,south-america,spring,48648947,56457,48943,21230,1094,3.2875419653321707,94.64132683924068,9,34.69863342122146,45.070134683706385,7919.0340410254485,39281,51740.469084204015
2020-03-30,south-america,autumn,27309162,29816,21836,3611,3195,3.0881423163355453,45.08068844913187,2,38.717472826201536,46.504966838286585,1939.645933698589,40858,37848.934228556805
2020-03-31,europe,spring,32890042,88209,68036,57625,1404,2.759370247436828,77.52539192586075,5,-7.686904133000002,49.26914780796518,6682.565491224886,42496,108600.86594500858
2020-04-01,south-america,spring,37377378,41331,25528,32833,3364,1.0452064120305955,41.04639208132868,1,7.788704210033007,58.26379521602723,943.7446896753911,13330,31698.646514052394
2020-04-02,europe,spring,43529245,65105,24055,26494,4290,2.414658709654522,75.65711864887234,4,0.6447127329996718,58.74431891391768,5083.422929943438,17854,61502.447059185215
2020-04-03,north-america,spring,44908939,22666,50886,14392,3982,0.806062756299599,56.5644061539103,4,27.798292446562407,54.747924517395894,1630.7331259243692,34504,22957.976272950495
2020-04-04,africa,autumn,324695,55157,92456,69468,4323,1.8207711187882776,84.22656694272784,6,22.009693426851598,41.42006815082172,4169.331492976353,22664,61152.04880459678
2020-04-05,africa,autumn,45024507,91406,90112,71837,4013,1.9473078560148571,39.03954247326044,10,-4.0055984258077295,84.90445253535817,8331.490926237393,32462,566080.5917479934
2020-04-06,africa,winter,26367668,49676,51929,2596,4556,0.6393400380601384,57.40891988304049,9,14.176103368248576,61.2010268144478,9871.806717905742,18327,54290.68735458838
2020-04-07,south-america,summer,14163918,82378,99451,48521,4713,1.4589583481449013,59.8517746587886,3,24.27202611856457,48.541745133411645,3186.418718279581,24860,76412.64469029554
2020-04-08,north-america,autumn,49043187,38797,27113,62066,3092,3.8447731354327126,39.65137947104496,9,28.950269696201886,65.58238725205328,5324.237430843934,29823,2339767.508273185
2020-04-09,south-america,autumn,30033317,62956,36198,66741,4159,3.8377141274039133,13.709644150310744,6,-8.997364510799574,73.75767304668636,5117.86726346118,47575,1209668.3547615604
2020-04-10,south-america,summer,43453746,21737,5855,61758,2074,1.7331446898838876,8.888143656671877,7,34.52347869919449,87.25096617597701,9544.47108321235,17315,142433.05267113543
2020-04-11,north-america,autumn,36994648,95091,86708,11092,284,0.6508503813191342,1.5837973069651445,10,18.46406914752622,54.968441358730786,4791.051487003408,5638,460970.00834565907
2020-04-12,north-america,spring,20710500,68066,36684,30821,4933,1.1268322876486354,82.98575510329539,2,30.59545574799523,27.846895724553114,6994.070991942981,21799,44638.535307435464
2020-04-13,north-america,spring,13345696,3091,19347,23413,4926,1.8727622770173904,22.46511666267598,10,30.396901500714172,50.8536061005579,9218.674438754177,43185,601859.4439282411
2020-04-14,north-america,summer,35502297,34206,22323,141,1187,3.8172289428923043,20.093141181767965,6,-0.5073669864515438,53.527939301743,3740.0518097730323,12554,1079631.8089697114
2020-04-15,africa,winter,15021595,36745,26953,17418,3969,0.9941967223801472,69.92336304047622,6,-4.491393987318345,82.78958547299717,9022.201160071423,48317,36830.05761973805
2020-04-16,asia,winter,24463941,80112,77959,59505,2965,3.1723054528387427,30.401530743302217,2,26.06436344869133,47.63605379240671,9175.387656691224,41323,219457.1787745345
2020-04-17,asia,summer,48223406,79588,286,56363,4319,0.8803888878114223,48.074245779124475,2,-2.1786540589190464,86.73269854209968,9307.318414631636,21811,61895.49384375397
2020-04-18,north-america,summer,49328961,25508,51161,66202,783,3.9344015208694687,15.438551203258347,2,32.49687457023619,53.95923354000344,2711.75739285955,15159,101274.37498817785
2020-04-19,asia,spring,42962524,76875,17621,32859,949,1.8356577468819724,91.17584353888708,10,26.30947419310526,88.16463506852502,4009.5523867568854,48498,74026.47133942108
2020-04-20,asia,winter,37671568,31666,11954,76245,3939,3.213320886146696,80.90023300163755,1,32.09126821826313,20.573882479167352,8705.255123174762,1386,25836.601289171027
2020-04-21,north-america,autumn,47524280,67705,52897,16327,44,1.6990687898389614,82.06001418167531,5,4.950633980467304,82.91707623644427,3598.0266245613834,34397,63393.02887917651
2020-04-22,asia,spring,39404715,37910,81452,6973,1810,2.6968410700558305,38.6435061143405,8,5.829903020528452,85.17843163603455,6006.527799005716,42868,456253.55079274095
2020-04-23,south-america,summer,1174961,84909,49857,27523,4566,1.1720562965901284,72.42431530218141,2,23.561077817315883,87.27146550356493,1189.364527527919,39523,59092.48465938907
2020-04-24,europe,winter,21502894,47711,58663,51930,2081,1.011073567539369,13.668234762029115,5,-8.427702247052624,20.91535739222304,572.1871312312952,34745,63597.543937603754
2020-04-25,europe,autumn,12050571,19043,86082,59853,3498,3.7832244884884596,0.8188052462191264,8,26.324837316871132,32.01905855852163,4125.819955026805,42809,7048381.759040651
2020-04-26,north-america,autumn,19255151,10815,56632,1705,829,3.711765472665517,1.8974285949126717,10,31.789153542730062,65.76351521652654,5793.376160601248,26585,10272885.032904482
2020-04-27,africa,spring,12966619,35861,27820,23204,1909,3.6061412907450885,55.72716505343324,5,10.758179330205202,21.7830884214575,3933.0641424558244,32367,188797.40250749193
2020-04-28,north-america,winter,2574968,26842,77852,44594,2581,2.6890170755830773,43.26251599855438,2,28.243941504423432,24.45262973235505,5781.580343906811,45923,41124.23438054274
2020-04-29,africa,winter,39820592,63447,10513,32120,691,3.328938739256974,49.211458146309376,3,-1.2694541508869026,35.475521158540936,5155.692917956133,27186,127404.05142473518
2020-04-30,europe,summer,47223764,13954,84771,61939,4019,0.7416292791898123,0.7089983396358435,6,6.113019690974234,55.87078381207189,6860.215220567898,16584,32242.476640372835
2020-05-01,north-america,winter,22849774,19883,36986,54321,931,1.671761646617377,40.15522886745544,5,38.715248155523874,58.213179148676524,6498.828986343245,3187,44747.46721482069
2020-05-02,oceania,winter,2542266,40382,11600,5525,4936,1.597960936650047,68.21647531408178,4,39.31640867800631,22.398278595545303,4248.214575033735,38696,47195.44909037865
2020-05-03,south-america,spring,4537677,89474,10896,36460,3406,2.7247586268341464,42.0559016869064,4,15.630252651079399,31.92570755470718,4255.702451794434,18775,318462.50173032394
2020-05-04,asia,winter,47447699,15389,12876,41610,147,1.7458522071472418,69.56082459966112,5,36.71348957319385,54.97939713342587,1416.3756167221977,24780,16893.3112525343
2020-05-05,africa,autumn,9707366,36761,66634,14960,1032,1.0197737357528829,22.136801617699305,2,16.13653390284273,61.57584346603837,5137.253335243628,17177,36561.34147356572
2020-05-06,oceania,spring,5341218,89832,68909,44054,1311,2.587634763947403,77.24849042576392,9,4.579406408057865,30.388118754035077,5875.91949007561,38274,206972.1151244087
2020-05-07,asia,spring,26921567,5120,32802,13922,387,3.350343722341785,55.90096784307797,2,3.344964404938592,47.918898836287944,4770.129079564724,11532,6910.842941927345
2020-05-08,asia,summer,5581140,54351,9774,70298,3121,1.837432230609906,20.02249444584109,10,36.47528526840744,83.30810055618667,3263.81627751912,3591,744125.0347725815
2020-05-09,north-america,winter,24091831,12097,86166,78586,1873,0.962940502844686,22.48844520611413,2,-1.3776805513070443,89.92295009323205,7219.268957074842,46226,13758.208103867139
2020-05-10,asia,summer,31347234,23772,42737,64930,3588,1.1884086905948807,59.66289413410602,10,18.98162291009091,89.10501183817989,755.8698300057885,46222,46903.80755000371
2020-05-11,south-america,autumn,38635694,82627,78481,70274,915,1.331191568092844,78.84426135518213,9,17.776253403135982,81.71721572008107,9145.259293842933,3492,114775.36446287022
2020-05-12,oceania,spring,5390717,9606,8078,30959,1878,1.5496415754808768,39.48463929276974,3,26.98108423264975,47.62620615649621,216.22796106247492,2368,13504.41536216767
2020-05-13,asia,spring,34172781,18323,7305,72622,3748,2.749782746772082,24.538540767121262,10,14.962145376238738,68.0602004452349,9623.877833048396,38500,1458470.48511645
2020-05-14,north-america,spring,19759206,66559,41170,41463,277,2.6033091958820167,82.36610265650704,7,3.614283035406711,49.16145594489391,4628.932453337277,36651,101275.07905717124
2020-05-15,south-america,autumn,897968,23715,11400,21118,1977,2.936279515484637,63.580487716329316,4,-1.5301750184210725,65.3968918776942,4132.572740595377,28188,41850.280233349
2020-05-16,europe,autumn,36310403,67374,20141,43944,1859,1.768756945860296,42.56812129189227,6,21.04094017529459,41.660272967863825,2571.8757344572496,14579,282225.6974921102
2020-05-17,oceania,summer,49653928,73455,94764,29350,3036,3.3839917815799243,46.350518551533675,4,25.949537842661655,62.43415775272324,110.61063697450885,25565,314854.53070947545
2020-05-18,asia,summer,29263439,78655,75979,46318,3371,1.214306814045161,19.40436445395766,10,18.47606393410163,56.66309475869949,2755.1547415737796,48255,917001.6661892254
2020-05-19,north-america,summer,31107736,2033,15048,69171,4713,2.141642616313539,59.54624985616017,7,26.917563856059736,21.713618606923998,1102.905255348736,22457,19421.28136651805
